¿Cuál es la causa primaria de la desnutrición según la fuente?,La ingesta insuficiente de nutrientes.
¿A qué se debe la causa secundaria de la desnutrición?,"A una enfermedad orgánica, como infecciones crónicas o patologías digestivas."
Defina el término 'desmedro'.,Es una estatura muy baja con respecto a la edad del paciente.
Defina el término 'emaciación'.,Es un peso muy bajo con respecto a la altura del paciente.
¿Cuál es el rango de edad que representa el pico de incidencia de desnutrición?,De $6$ a $36$ meses.
¿Cuál es el tipo de desnutrición más común en México?,La desnutrición crónica.
¿Qué indicador epidemiológico es el más apropiado para evaluar la desnutrición crónica?,La talla para la edad.
¿Qué indicador epidemiológico es el más apropiado para evaluar la desnutrición aguda?,El peso para la talla.
¿Cuál es el hallazgo laboratorial más frecuente en niños desnutridos?,Anemia microcítica hipocrómica.
¿Qué parámetro evalúa la clasificación de Federico Gómez para valorar la severidad?,El peso para la edad.
¿Cuál es el tratamiento antibiótico indicado en caso de infección detectada en desnutrición?,Ampicilina más Gentamicina.
Concepto: Kwashiorkor,"Definición: Desnutrición aguda por ingesta inadecuada de proteínas, caracterizada por edema."
¿A partir de qué nivel de albúmina suele comenzar el edema en el Kwashiorkor?,$< 2.8$ g/$100$ mL.
"En el Kwashiorkor, ¿a qué se debe la presencia de un abdomen protuberante?",A la debilidad de los músculos y a la hepatomegalia (esteatosis).
¿En qué consiste el 'signo de la bandera' en la desnutrición aguda?,Es la decoloración del cabello debido a la hipoalbuminemia.
Concepto: Marasmo,Definición: Desnutrición crónica energético-calórica que afecta tanto el peso como la talla.
¿Qué hallazgo físico se conoce como el 'signo del pantalón' en el marasmo?,La emaciación de los pliegues glúteos.
"En el tratamiento de la desnutrición, ¿cuál es el tiempo estimado para la rehidratación?",$24$ - $48$ horas.
¿Qué indicador utiliza la clasificación de Waterloo para valorar procesos agudos?,El peso para la talla.
"Según el Z-score, ¿qué valor define una desnutrición severa?",$< -3$ DS.
¿Qué síntomas produce la deficiencia de Vitamina A?,"Ceguera nocturna, xeroftalmia y sequedad de epitelios."
