¿Cuál es el tumor maligno más frecuente del aparato genital masculino?,Cáncer de próstata.
Tipo histológico que constituye el $95\%$ de los carcinomas prostáticos:,Adenocarcinoma.
¿En qué zona de la próstata se originan la mayoría de los adenocarcinomas?,Zona periférica.
¿Cuál es la edad promedio al momento del diagnóstico de cáncer de próstata?,$66$ años.
Menciona tres factores de riesgo principales para el desarrollo de cáncer de próstata:,"Raza afroamericana, familiar de primer grado con diagnóstico antes de los $60$ años y obesidad."
Mutaciones genéticas asociadas con un mayor riesgo de cáncer de próstata:,$BRCA\ 1$ y $BRCA\ 2$.
Factor protector que reduce el riesgo de cáncer de próstata según la frecuencia mensual:,Eyacular más de $21$ veces al mes.
¿Por qué el cáncer de próstata suele ser asintomático en etapas iniciales?,Debido a que se presenta predominantemente en la zona periférica.
Porcentaje de pacientes que presentan metástasis al momento del diagnóstico de cáncer de próstata:,$25\%$.
Sitio anatómico que representa el principal lugar de metástasis ósea en cáncer de próstata:,Región lumbar.
Edad recomendada para realizar la primera determinación basal de Antígeno Prostático Específico (APE):,Entre los $40$ y $50$ años.
Conducta a seguir ante un APE $> 4.0\ ng/ml$:,Solicitar APE libre y realizar un nuevo control en un año.
Indicación diagnóstica inmediata ante un APE $> 10\ ng/ml$:,Realizar biopsia de próstata.
Porcentaje de APE libre que indica la necesidad de realizar una biopsia prostática:,Menor al $15\%$.
¿A qué grupo de pacientes se les debe realizar tacto rectal independientemente de su edad?,A aquellos con sintomatología urinaria baja.
Características físicas del carcinoma prostático al tacto rectal:,"Duro, nodular e irregular."
Estudio de imagen inicial para el abordaje de cáncer de próstata:,Ultrasonido (USG) rectal.
Hallazgo ultrasonográfico típico del cáncer de próstata:,Nódulos hipoecogénicos.
Marcador bioquímico que indica extensión extraprostática en el cáncer de próstata:,Fosfatasa ácida prostática.
Criterios para solicitar una gammagrafía ósea en la estadificación del cáncer de próstata:,Escala de Gleason mayor a $8$ o un APE mayor a $20\ ng/ml$.
¿Cuál es el estándar de oro para el diagnóstico definitivo del cáncer de próstata?,Biopsia (tomando $12$ muestras).
Ejemplos de fármacos agonistas de $GnRH$ o $LHRH$ utilizados en el tratamiento:,"Leuprolida, goserelina y triptorelina."
Criterios para clasificar el cáncer de próstata como de Bajo Riesgo:,"Estadio $T1$-$T2a$, APE $< 10\ ng/ml$ y Gleason $\le 6$."
